tool_slug,method,path,category,parent_scope,permission_evidence,doc_id,doc_url,contract_sha256
TIKTOK_ADS_SMART_PLUS_CAMPAIGN_COPY_TASK_CHECK,GET,/smart_plus/campaign/copy/task/check,Ads Management,2,selected_export_category_plus_first_level_inheritance,1866529943741441,https://business-api.tiktok.com/portal/docs?id=1866529943741441,690f7bf9b4a7792726096bccc67c80047e2b336d6513ac6d3d6cb27619f28702
TIKTOK_ADS_SMART_PLUS_CAMPAIGN_COPY_TASK_CREATE,POST,/smart_plus/campaign/copy/task/create,Ads Management,2,selected_export_category_plus_first_level_inheritance,1866528879472641,https://business-api.tiktok.com/portal/docs?id=1866528879472641,92e9dd7c171d932434ac0ebff41040a392df3bf2be9de61d8b7d96ab99073a6c
TIKTOK_ADS_CREATIVE_ASSET_DELETE,POST,/creative/asset/delete,Creative Management,6,selected_export_category_plus_first_level_inheritance,1797202997456897,https://business-api.tiktok.com/portal/docs?id=1797202997456897,0bd58a90ee28e07e62569743faa2a8525013424eae95c0171ead81ca7565619c
TIKTOK_ADS_CREATIVE_AUTO_MESSAGE_CREATE,POST,/creative/auto_message/create,Creative Management,6,selected_export_category_plus_first_level_inheritance,1822106113771521,https://business-api.tiktok.com/portal/docs?id=1822106113771521,69793b0c21b4049a85a1a165528cfe9c8ba214224eb7b773acef344c1e605e54
TIKTOK_ADS_CREATIVE_AUTO_MESSAGE_GET,GET,/creative/auto_message/get,Creative Management,6,selected_export_category_plus_first_level_inheritance,1822106498804738,https://business-api.tiktok.com/portal/docs?id=1822106498804738,07038c4d2be4473295ad139d763c403bdfc1d2973599d0452795c9fb3c9ebcf2
TIKTOK_ADS_CREATIVE_PRE_REVIEW_TASK_CREATE,POST,/creative/pre_review/task/create,Creative Management,6,selected_export_category_plus_first_level_inheritance,1874110632584577,https://business-api.tiktok.com/portal/docs?id=1874110632584577,329b6d2fdb16acc3c146a1fdddba0294a5a57021d4debb19def06659a1a22723
TIKTOK_ADS_CREATIVE_PRE_REVIEW_TASK_GET,GET,/creative/pre_review/task/get,Creative Management,6,selected_export_category_plus_first_level_inheritance,1874110636550082,https://business-api.tiktok.com/portal/docs?id=1874110636550082,18d77a2b51c4b2ee97866a07bb7bf52f9bfc34ca433563b31991b01a77447ca2
TIKTOK_ADS_DISCOVERY_CML_TRENDING_LIST,GET,/discovery/cml/trending_list,Creative Management,6,selected_export_category_plus_first_level_inheritance,1825119063013505,https://business-api.tiktok.com/portal/docs?id=1825119063013505,fd021b078d09ea4c05a81fd64f59b01208f0759c602faf5deda715359fdec8dc
TIKTOK_ADS_DISCOVERY_CML_VIDEO_LIST,GET,/discovery/cml/video_list,Creative Management,6,selected_export_category_plus_first_level_inheritance,1825119068941314,https://business-api.tiktok.com/portal/docs?id=1825119068941314,23d62c742a1f6621e05c6dc9561503e6e565765d8b179727a258b812d29a0d45
TIKTOK_ADS_DISCOVERY_TRENDING_SEARCH,GET,/discovery/trending/search,Creative Management,6,selected_export_category_plus_first_level_inheritance,1832798345014338,https://business-api.tiktok.com/portal/docs?id=1832798345014338,1372cc3165cff55d0688cf5dbd3587b78b35f261b325abb0e0eb8348ba71c199
TIKTOK_ADS_DISCOVERY_TRENDING_SEARCH_KEYWORD,GET,/discovery/trending/search/keyword,Creative Management,6,selected_export_category_plus_first_level_inheritance,1832798361818114,https://business-api.tiktok.com/portal/docs?id=1832798361818114,7b1912a7b62cba22088556317127d488e00a1e9dfaf798778b395ba1f6cc84d9
